title,profit in units of 100M,in a franchise,release year
Avatar,25.51,Yes,2009
Star Wars: The Force Awakens,18.232,Yes,2015
Titanic,16.45,No,1997
Jurassic World,13.635,Yes,2015
Furious 7,13.162,Yes,2015
The Avengers,12.996,Yes,2012
Harry Potter and the Deathly Hallows: Part 2,12.17,Yes,2011
Avengers: Age of Ultron,11.254,Yes,2015
Frozen,11.242,Yes,2013
Minions,10.827,Yes,2015
The Lord of the Rings: The Return of the King,10.249,Yes,2003
Iron Man 3,10.154,Yes,2013
Transformers: Dark of the Moon,9.287,Yes,2011
Skyfall,9.086,Yes,2012
Captain America: Civil War,9.033,Yes,2016
Despicable Me 2,8.948,Yes,2013
Transformers: Age of Extinction,8.814,Yes,2014
Zootopia,8.738,No,2016
Toy Story 3,8.67,Yes,2010
Pirates of the Caribbean: Dead Man's Chest,8.657,Yes,2006
